path,ext,loc,commits,churn,decisions,issues,issue_detail,owner,owner_pct,authors,origin,risk
src/modules/sales/orders/order-detail-sections.tsx,tsx,371,2,569,10,1,eslint_disable=1,Chaitanya2872,100,1,authored,5.2
src/modules/public/PublicApplyPage.tsx,tsx,202,2,211,34,1,any=1,Ravi-Shankar-ACS,100,1,authored,5.1
src/modules/visitor management/services/flowService.ts,ts,134,2,143,26,3,console=3,Vaishnavi Nerella,100,1,copied:vms,5.1
backend/services/org-service/src/main/java/com/hirepath/org/controller/SetupController.java,java,205,1,204,24,2,broad_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,5.0
src/components/layout/Sidebar.tsx,tsx,359,30,488,10,1,eslint_disable=1,Chaitanya2872,79,4,authored,5.0
src/modules/auth/permissions.ts,ts,185,16,218,41,0,,Chaitanya2872,63,4,authored,4.9
src/modules/visitor management/pages/CreateVisitor/CreateVisitorForm.tsx,tsx,230,2,903,24,0,,Vaishnavi Nerella,100,1,copied:vms,4.9
backend/services/crm-service/src/main/java/com/fawnix/crm/security/jwt/JwtService.java,java,139,3,166,13,4,broad_catch=2;suppress=2,Chaitanya2872,100,1,authored,4.8
src/modules/project-management/components/ComboSelect.tsx,tsx,270,1,269,30,0,,Chaitanya2872,100,1,authored,4.8
backend/services/approval-service/src/main/java/com/hirepath/approval/dto/ApprovalRequestResponse.java,java,480,1,479,0,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,4.7
src/components/ui/DatePicker.tsx,tsx,278,1,277,27,0,,Chaitanya2872,100,1,generated:shadcn,4.7
src/modules/task-management/hooks.ts,ts,407,10,414,1,1,eslint_disable=1,Chaitanya2872,100,1,authored,4.7
backend/services/approval-service/src/main/java/com/hirepath/approval/service/ApprovalNotificationService.java,java,95,1,94,16,4,broad_catch=2;empty_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,4.6
backend/services/recruitment-service/src/main/resources/db/migration/V1__create_recruitment_schema.sql,sql,242,1,241,29,0,,Ravi-Shankar-ACS,100,1,authored,4.5
src/modules/crm/accounts/page.tsx,tsx,321,1,320,19,0,,Chaitanya2872,100,1,authored,4.5
src/modules/task-management/components/TaskWorkspace.tsx,tsx,325,2,344,9,1,use_client=1,Vaishnavi Nerella,100,1,authored,4.5
backend/services/inventory-service/src/main/java/com/fawnix/inventory/warehouses/service/WarehouseService.java,java,246,1,245,27,0,,Vaishnavi Nerella,100,1,authored,4.4
backend/services/task-service/src/main/java/com/hirepath/task/tasks/domain/TaskEntity.java,java,455,4,454,0,0,,Chaitanya2872,100,1,copied:hirepath,4.4
src/modules/auth/page.tsx,tsx,303,5,897,9,0,,Chaitanya2872,100,1,authored,4.4
src/modules/visitor management/pages/VisitorDetails/VisitorDetails.tsx,tsx,299,1,298,20,0,,Vaishnavi Nerella,100,1,copied:vms,4.4
src/modules/visitor management/services/faceCaptureService.ts,ts,152,2,155,31,1,console=1,Vaishnavi Nerella,100,1,copied:vms,4.4
src/modules/crm/leads/types.ts,ts,439,11,464,0,0,,Chaitanya2872,100,1,authored,4.3
src/modules/sales/orders/types.ts,ts,438,7,443,0,0,,Chaitanya2872,100,1,authored,4.3
backend/services/identity-service/src/main/java/com/fawnix/identity/access/service/AccessRequestService.java,java,297,4,368,16,0,,Chaitanya2872,100,1,authored,4.2
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/PurchaseRequisition.java,java,432,3,431,0,0,,Chaitanya2872,100,1,authored,4.2
backend/services/notifications-service/src/main/java/com/hirepath/notifications/service/OutboxProcessor.java,java,166,1,165,17,2,broad_catch=2,Ravi-Shankar-ACS,100,1,copied:hirepath,4.1
src/modules/integrations/PortalCredentialsPage.tsx,tsx,185,1,184,14,2,any=2,Ravi-Shankar-ACS,100,1,authored,4.1
src/modules/project-management/layout.tsx,tsx,259,4,272,21,0,,Chaitanya2872,99,2,authored,4.1
src/modules/visitor management/components/common/Table.tsx,tsx,187,1,186,31,0,,Vaishnavi Nerella,100,1,copied:vms,4.1
src/modules/crm/leads/lead-ui.tsx,tsx,179,3,192,22,1,eslint_disable=1,Chaitanya2872,100,1,authored,4.0
src/modules/purchases/p2p/alerts/page.tsx,tsx,276,3,465,15,0,,Chaitanya2872,100,1,authored,4.0
src/modules/task-management/types.ts,ts,414,10,427,0,0,,Chaitanya2872,100,1,authored,4.0
backend/services/approval-service/src/main/java/com/hirepath/approval/service/ApprovalFlowService.java,java,140,1,139,35,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.9
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/PipelineController.java,java,205,1,204,26,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.9
src/services/api-client.ts,ts,188,2,195,28,0,,Chaitanya2872,100,1,authored,3.9
backend/services/task-service/src/main/java/com/hirepath/task/tasks/service/TaskNotesImportAiService.java,java,199,2,210,16,1,broad_catch=1,Chaitanya2872,100,1,copied:hirepath,3.8
src/modules/inventory/transactions-page.tsx,tsx,179,3,206,11,2,use_client=1;nonnull=1,Chaitanya2872,99,2,authored,3.8
backend/services/sales-service/src/main/resources/db/migration/V7__expand_order_to_cash_workflow.sql,sql,130,1,129,33,0,,Chaitanya2872,100,1,authored,3.7
src/modules/purchases/types.ts,ts,381,5,410,0,0,,Chaitanya2872,100,1,authored,3.7
src/modules/recruitment/HiringRequestsPage.tsx,tsx,152,2,155,13,2,any=2,Ravi-Shankar-ACS,100,1,authored,3.7
backend/services/approval-service/src/main/java/com/hirepath/approval/service/ApprovalAccessService.java,java,109,1,108,34,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.6
backend/services/integration-service/src/main/java/com/hirepath/integration/service/CalendarOAuthService.java,java,181,1,180,25,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.6
backend/services/org-service/src/main/java/com/hirepath/org/controller/OrgAdminController.java,java,223,1,222,20,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.6
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/IntakeController.java,java,240,1,239,17,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.6
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/InternalApprovalSyncController.java,java,157,2,158,28,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,3.6
src/modules/inventory/hooks.ts,ts,229,6,694,10,0,,Chaitanya2872,89,2,authored,3.6
src/modules/purchases/hooks.ts,ts,366,5,365,0,0,,Chaitanya2872,97,2,authored,3.6
src/modules/sales/QuotationDocument.tsx,tsx,289,4,300,10,0,,Chaitanya2872,96,2,authored,3.6
src/modules/visitor management/components/vms/VisitorTable.tsx,tsx,237,1,236,18,0,,Vaishnavi Nerella,100,1,copied:vms,3.6
backend/services/crm-service/src/main/java/com/fawnix/crm/integrations/whatsapp/WhatsappClient.java,java,158,2,159,9,2,broad_catch=1;empty_catch=1,Chaitanya2872,100,1,authored,3.5
backend/services/task-service/src/main/java/com/hirepath/task/tasks/controller/TaskController.java,java,356,8,363,0,0,,Chaitanya2872,100,1,copied:hirepath,3.5
