path,loc,dup_lines,dup_pct,owner
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/entity/LeadTagEntity.java,71,53,75,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/identity-service/src/main/java/com/fawnix/identity/auth/entity/PermissionEntity.java,124,53,43,Chaitanya2872
backend/services/integration-service/src/main/java/com/hirepath/integration/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/jwt/JwtService.java,73,53,73,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/domain/NotificationPreference.java,115,53,46,Ravi-Shankar-ACS
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/procurement-service/src/main/java/com/fawnix/procurement/security/jwt/JwtService.java,73,53,73,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/security/jwt/JwtService.java,73,53,73,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/jwt/JwtService.java,73,53,73,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/security/jwt/JwtService.java,73,53,73,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/security/jwt/JwtService.java,73,53,73,Chaitanya2872
backend/src/main/java/com/fawnix/verse/leads/entity/LeadTagEntity.java,71,53,75,Chaitanya2872
src/modules/visitor management/pages/VisitorValidation/ValidationDetails.tsx,334,53,16,Vaishnavi Nerella
backend/services/approval-service/src/main/java/com/hirepath/approval/dto/ApprovalFlowCreateRequest.java,115,52,45,Ravi-Shankar-ACS
backend/services/identity-service/src/main/java/com/fawnix/identity/auth/entity/RoleEntity.java,137,52,38,Chaitanya2872
backend/services/sales-service/src/main/java/com/fawnix/sales/deliveries/entity/SalesDeliveryEntity.java,118,52,44,Chaitanya2872
backend/services/sales-service/src/main/java/com/fawnix/sales/invoices/entity/SalesInvoiceEntity.java,134,52,39,Chaitanya2872
backend/src/main/java/com/fawnix/verse/remarks/entity/LeadRemarkEntity.java,107,52,49,Chaitanya2872
backend/src/main/java/com/fawnix/verse/remarks/entity/LeadRemarkVersionEntity.java,77,52,68,Chaitanya2872
backend/services/approval-service/src/main/java/com/hirepath/approval/dto/InternalApprovalActionRequest.java,64,51,80,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/client/dto/InternalApprovalActionRequest.java,64,51,80,Ravi-Shankar-ACS
backend/services/integration-service/src/main/java/com/hirepath/integration/dto/PortalCredentialRequest.java,82,50,61,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/JobPosting.java,186,50,27,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/common/exception/GlobalExceptionHandler.java,91,50,55,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/InterviewCreateRequest.java,131,49,37,Ravi-Shankar-ACS
backend/services/forms-service/src/main/java/com/hirepath/forms/domain/ApplicationFormCollection.java,85,48,56,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/mapper/LeadMapper.java,180,47,26,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/meetings/domain/ProjectMeetingEntity.java,319,47,15,Vaishnavi Nerella
backend/src/main/java/com/fawnix/verse/leads/mapper/LeadMapper.java,105,47,45,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/CandidateIntake.java,175,45,26,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/InternalIntakeRequest.java,76,45,59,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/security/jwt/JwtService.java,90,45,50,Chaitanya2872
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/validator/LeadRequestValidator.java,64,44,69,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/CandidateApplication.java,263,44,17,Ravi-Shankar-ACS
backend/src/main/java/com/fawnix/verse/leads/validator/LeadRequestValidator.java,64,44,69,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/Interview.java,184,43,23,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/domain/ApprovalFlow.java,115,42,37,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/InterviewRoundConfigEntity.java,108,42,39,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/InterviewRoundConfigRequest.java,81,42,52,Ravi-Shankar-ACS
src/modules/crm/contacts/page.tsx,366,42,11,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/domain/NotificationTemplate.java,135,41,30,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/domain/SetupEmployee.java,86,41,48,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/orders/dto/SalesOrderDtos.java,267,41,15,Chaitanya2872
backend/services/approval-service/src/main/java/com/hirepath/approval/client/dto/RecruitmentApprovalStatusRequest.java,49,40,82,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/security/jwt/JwtProperties.java,53,40,75,Chaitanya2872
backend/services/procurement-service/src/main/java/com/fawnix/procurement/domain/VendorContactPerson.java,148,40,27,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/dto/ApprovalStatusUpdateRequest.java,53,40,75,Ravi-Shankar-ACS
backend/services/analytics-service/src/main/java/com/hirepath/analytics/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/approval-service/src/main/java/com/hirepath/approval/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/security/filter/JwtAuthenticationFilter.java,61,39,64,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/domain/ApplicationFormSubmission.java,181,39,22,Ravi-Shankar-ACS
backend/services/forms-service/src/main/java/com/hirepath/forms/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/integration-service/src/main/java/com/hirepath/integration/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/filter/JwtAuthenticationFilter.java,61,39,64,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/filter/JwtAuthenticationFilter.java,61,39,64,Ravi-Shankar-ACS
